article_id,chunk_id
30,30_semantic_0000
30,30_semantic_0001
31,31_semantic_0000
31,31_semantic_0001
31,31_semantic_0002
32,32_semantic_0000
32,32_semantic_0001
32,32_semantic_0002
32,32_semantic_0003
33,33_semantic_0000
33,33_semantic_0001
33,33_semantic_0002
34,34_semantic_0000
34,34_semantic_0001
35,35_semantic_0000
35,35_semantic_0001
35,35_semantic_0002
36,36_semantic_0000
36,36_semantic_0001
37,37_semantic_0000
37,37_semantic_0001
37,37_semantic_0002
38,38_semantic_0000
38,38_semantic_0001
38,38_semantic_0002
38,38_semantic_0003
39,39_semantic_0000
39,39_semantic_0001
39,39_semantic_0002
39,39_semantic_0003
40,40_semantic_0000
40,40_semantic_0001
40,40_semantic_0002
41,41_semantic_0000
41,41_semantic_0001
41,41_semantic_0002
41,41_semantic_0003
41,41_semantic_0004
42,42_semantic_0000
42,42_semantic_0001
42,42_semantic_0002
42,42_semantic_0003
42,42_semantic_0004
43,43_semantic_0000
43,43_semantic_0001
43,43_semantic_0002
43,43_semantic_0003
44,44_semantic_0000
44,44_semantic_0001
44,44_semantic_0002
45,45_semantic_0000
45,45_semantic_0001
45,45_semantic_0002
45,45_semantic_0003
46,46_semantic_0000
46,46_semantic_0001
46,46_semantic_0002
47,47_semantic_0000
47,47_semantic_0001
47,47_semantic_0002
48,48_semantic_0000
48,48_semantic_0001
49,49_semantic_0000
49,49_semantic_0001
49,49_semantic_0002
49,49_semantic_0003
50,50_semantic_0000
50,50_semantic_0001
51,51_semantic_0000
51,51_semantic_0001
52,52_semantic_0000
52,52_semantic_0001
52,52_semantic_0002
53,53_semantic_0000
54,54_semantic_0000
54,54_semantic_0001
54,54_semantic_0002
55,55_semantic_0000
55,55_semantic_0001
56,56_semantic_0000
56,56_semantic_0001
57,57_semantic_0000
57,57_semantic_0001
57,57_semantic_0002
57,57_semantic_0003
58,58_semantic_0000
58,58_semantic_0001
58,58_semantic_0002
58,58_semantic_0003
58,58_semantic_0004
59,59_semantic_0000
59,59_semantic_0001
59,59_semantic_0002
60,60_semantic_0000
60,60_semantic_0001
60,60_semantic_0002
61,61_semantic_0000
61,61_semantic_0001
61,61_semantic_0002
62,62_semantic_0000
62,62_semantic_0001
62,62_semantic_0002
62,62_semantic_0003
63,63_semantic_0000
63,63_semantic_0001
63,63_semantic_0002
63,63_semantic_0003
64,64_semantic_0000
64,64_semantic_0001
64,64_semantic_0002
64,64_semantic_0003
64,64_semantic_0004
65,65_semantic_0000
65,65_semantic_0001
65,65_semantic_0002
65,65_semantic_0003
65,65_semantic_0004
66,66_semantic_0000
66,66_semantic_0001
67,67_semantic_0000
67,67_semantic_0001
67,67_semantic_0002
67,67_semantic_0003
68,68_semantic_0000
68,68_semantic_0001
69,69_semantic_0000
69,69_semantic_0001
69,69_semantic_0002
69,69_semantic_0003
70,70_semantic_0000
70,70_semantic_0001
70,70_semantic_0002
70,70_semantic_0003
71,71_semantic_0000
71,71_semantic_0001
71,71_semantic_0002
71,71_semantic_0003
71,71_semantic_0004
72,72_semantic_0000
72,72_semantic_0001
72,72_semantic_0002
73,73_semantic_0000
73,73_semantic_0001
74,74_semantic_0000
74,74_semantic_0001
75,75_semantic_0000
75,75_semantic_0001
75,75_semantic_0002
75,75_semantic_0003
76,76_semantic_0000
76,76_semantic_0001
76,76_semantic_0002
77,77_semantic_0000
78,78_semantic_0000
78,78_semantic_0001
78,78_semantic_0002
78,78_semantic_0003
79,79_semantic_0000
79,79_semantic_0001
80,80_semantic_0000
80,80_semantic_0001
80,80_semantic_0002
81,81_semantic_0000
81,81_semantic_0001
81,81_semantic_0002
81,81_semantic_0003
81,81_semantic_0004
82,82_semantic_0000
82,82_semantic_0001
82,82_semantic_0002
83,83_semantic_0000
83,83_semantic_0001
83,83_semantic_0002
84,84_semantic_0000
84,84_semantic_0001
85,85_semantic_0000
85,85_semantic_0001
85,85_semantic_0002
85,85_semantic_0003
86,86_semantic_0000
86,86_semantic_0001
86,86_semantic_0002
86,86_semantic_0003
87,87_semantic_0000
88,88_semantic_0000
88,88_semantic_0001
88,88_semantic_0002
88,88_semantic_0003
89,89_semantic_0000
89,89_semantic_0001
89,89_semantic_0002
90,90_semantic_0000
90,90_semantic_0001
90,90_semantic_0002
90,90_semantic_0003
91,91_semantic_0000
91,91_semantic_0001
91,91_semantic_0002
91,91_semantic_0003
92,92_semantic_0000
92,92_semantic_0001
93,93_semantic_0000
94,94_semantic_0000
95,95_semantic_0000
95,95_semantic_0001
95,95_semantic_0002
96,96_semantic_0000
96,96_semantic_0001
96,96_semantic_0002
96,96_semantic_0003
97,97_semantic_0000
97,97_semantic_0001
97,97_semantic_0002
97,97_semantic_0003
98,98_semantic_0000
98,98_semantic_0001
98,98_semantic_0002
98,98_semantic_0003
99,99_semantic_0000
99,99_semantic_0001
99,99_semantic_0002
99,99_semantic_0003
99,99_semantic_0004
100,100_semantic_0000
100,100_semantic_0001
100,100_semantic_0002
101,101_semantic_0000
101,101_semantic_0001
101,101_semantic_0002
101,101_semantic_0003
102,102_semantic_0000
102,102_semantic_0001
102,102_semantic_0002
103,103_semantic_0000
103,103_semantic_0001
103,103_semantic_0002
104,104_semantic_0000
104,104_semantic_0001
104,104_semantic_0002
104,104_semantic_0003
105,105_semantic_0000
105,105_semantic_0001
105,105_semantic_0002
106,106_semantic_0000
106,106_semantic_0001
107,107_semantic_0000
107,107_semantic_0001
107,107_semantic_0002
107,107_semantic_0003
108,108_semantic_0000
108,108_semantic_0001
108,108_semantic_0002
109,109_semantic_0000
109,109_semantic_0001
109,109_semantic_0002
109,109_semantic_0003
110,110_semantic_0000
110,110_semantic_0001
111,111_semantic_0000
111,111_semantic_0001
112,112_semantic_0000
112,112_semantic_0001
112,112_semantic_0002
112,112_semantic_0003
112,112_semantic_0004
113,113_semantic_0000
113,113_semantic_0001
113,113_semantic_0002
114,114_semantic_0000
114,114_semantic_0001
115,115_semantic_0000
115,115_semantic_0001
116,116_semantic_0000
116,116_semantic_0001
116,116_semantic_0002
117,117_semantic_0000
117,117_semantic_0001
118,118_semantic_0000
118,118_semantic_0001
118,118_semantic_0002
119,119_semantic_0000
119,119_semantic_0001
119,119_semantic_0002
119,119_semantic_0003
120,120_semantic_0000
120,120_semantic_0001
120,120_semantic_0002
121,121_semantic_0000
121,121_semantic_0001
121,121_semantic_0002
122,122_semantic_0000
122,122_semantic_0001
123,123_semantic_0000
123,123_semantic_0001
124,124_semantic_0000
124,124_semantic_0001
124,124_semantic_0002
124,124_semantic_0003
125,125_semantic_0000
125,125_semantic_0001
126,126_semantic_0000
126,126_semantic_0001
126,126_semantic_0002
126,126_semantic_0003
126,126_semantic_0004
127,127_semantic_0000
127,127_semantic_0001
127,127_semantic_0002
127,127_semantic_0003
128,128_semantic_0000
128,128_semantic_0001
128,128_semantic_0002
129,129_semantic_0000
129,129_semantic_0001
130,130_semantic_0000
130,130_semantic_0001
130,130_semantic_0002
131,131_semantic_0000
131,131_semantic_0001
131,131_semantic_0002
132,132_semantic_0000
132,132_semantic_0001
132,132_semantic_0002
132,132_semantic_0003
133,133_semantic_0000
133,133_semantic_0001
133,133_semantic_0002
133,133_semantic_0003
134,134_semantic_0000
134,134_semantic_0001
134,134_semantic_0002
134,134_semantic_0003
135,135_semantic_0000
135,135_semantic_0001
135,135_semantic_0002
135,135_semantic_0003
136,136_semantic_0000
136,136_semantic_0001
136,136_semantic_0002
136,136_semantic_0003
137,137_semantic_0000
137,137_semantic_0001
137,137_semantic_0002
137,137_semantic_0003
138,138_semantic_0000
138,138_semantic_0001
138,138_semantic_0002
139,139_semantic_0000
139,139_semantic_0001
139,139_semantic_0002
140,140_semantic_0000
140,140_semantic_0001
140,140_semantic_0002
140,140_semantic_0003
140,140_semantic_0004
141,141_semantic_0000
141,141_semantic_0001
141,141_semantic_0002
141,141_semantic_0003
141,141_semantic_0004
141,141_semantic_0005
142,142_semantic_0000
142,142_semantic_0001
142,142_semantic_0002
142,142_semantic_0003
143,143_semantic_0000
143,143_semantic_0001
144,144_semantic_0000
144,144_semantic_0001
144,144_semantic_0002
144,144_semantic_0003
144,144_semantic_0004
145,145_semantic_0000
145,145_semantic_0001
146,146_semantic_0000
146,146_semantic_0001
146,146_semantic_0002
146,146_semantic_0003
147,147_semantic_0000
147,147_semantic_0001
148,148_semantic_0000
148,148_semantic_0001
148,148_semantic_0002
148,148_semantic_0003
149,149_semantic_0000
149,149_semantic_0001
149,149_semantic_0002
149,149_semantic_0003
150,150_semantic_0000
150,150_semantic_0001
151,151_semantic_0000
152,152_semantic_0000
152,152_semantic_0001
152,152_semantic_0002
152,152_semantic_0003
153,153_semantic_0000
153,153_semantic_0001
153,153_semantic_0002
153,153_semantic_0003
154,154_semantic_0000
154,154_semantic_0001
155,155_semantic_0000
155,155_semantic_0001
156,156_semantic_0000
156,156_semantic_0001
156,156_semantic_0002
157,157_semantic_0000
157,157_semantic_0001
157,157_semantic_0002
157,157_semantic_0003
158,158_semantic_0000
158,158_semantic_0001
158,158_semantic_0002
158,158_semantic_0003
159,159_semantic_0000
159,159_semantic_0001
159,159_semantic_0002
160,160_semantic_0000
160,160_semantic_0001
160,160_semantic_0002
160,160_semantic_0003
161,161_semantic_0000
161,161_semantic_0001
162,162_semantic_0000
162,162_semantic_0001
162,162_semantic_0002
163,163_semantic_0000
163,163_semantic_0001
163,163_semantic_0002
163,163_semantic_0003
164,164_semantic_0000
164,164_semantic_0001
165,165_semantic_0000
165,165_semantic_0001
166,166_semantic_0000
166,166_semantic_0001
166,166_semantic_0002
166,166_semantic_0003
167,167_semantic_0000
167,167_semantic_0001
167,167_semantic_0002
167,167_semantic_0003
168,168_semantic_0000
168,168_semantic_0001
168,168_semantic_0002
168,168_semantic_0003
169,169_semantic_0000
169,169_semantic_0001
170,170_semantic_0000
170,170_semantic_0001
170,170_semantic_0002
171,171_semantic_0000
171,171_semantic_0001
171,171_semantic_0002
171,171_semantic_0003
171,171_semantic_0004
172,172_semantic_0000
172,172_semantic_0001
172,172_semantic_0002
173,173_semantic_0000
173,173_semantic_0001
173,173_semantic_0002
174,174_semantic_0000
174,174_semantic_0001
175,175_semantic_0000
175,175_semantic_0001
176,176_semantic_0000
176,176_semantic_0001
176,176_semantic_0002
176,176_semantic_0003
177,177_semantic_0000
177,177_semantic_0001
177,177_semantic_0002
177,177_semantic_0003
178,178_semantic_0000
178,178_semantic_0001
178,178_semantic_0002
179,179_semantic_0000
179,179_semantic_0001
179,179_semantic_0002
179,179_semantic_0003
179,179_semantic_0004
180,180_semantic_0000
180,180_semantic_0001
181,181_semantic_0000
181,181_semantic_0001
181,181_semantic_0002
181,181_semantic_0003
182,182_semantic_0000
182,182_semantic_0001
182,182_semantic_0002
183,183_semantic_0000
183,183_semantic_0001
183,183_semantic_0002
184,184_semantic_0000
184,184_semantic_0001
184,184_semantic_0002
185,185_semantic_0000
185,185_semantic_0001
185,185_semantic_0002
185,185_semantic_0003
185,185_semantic_0004
186,186_semantic_0000
186,186_semantic_0001
187,187_semantic_0000
187,187_semantic_0001
187,187_semantic_0002
187,187_semantic_0003
188,188_semantic_0000
188,188_semantic_0001
189,189_semantic_0000
189,189_semantic_0001
189,189_semantic_0002
190,190_semantic_0000
190,190_semantic_0001
190,190_semantic_0002
190,190_semantic_0003
191,191_semantic_0000
191,191_semantic_0001
191,191_semantic_0002
192,192_semantic_0000
192,192_semantic_0001
192,192_semantic_0002
192,192_semantic_0003
193,193_semantic_0000
193,193_semantic_0001
194,194_semantic_0000
194,194_semantic_0001
194,194_semantic_0002
195,195_semantic_0000
195,195_semantic_0001
195,195_semantic_0002
196,196_semantic_0000
196,196_semantic_0001
196,196_semantic_0002
197,197_semantic_0000
197,197_semantic_0001
197,197_semantic_0002
198,198_semantic_0000
198,198_semantic_0001
198,198_semantic_0002
199,199_semantic_0000
199,199_semantic_0001
199,199_semantic_0002
200,200_semantic_0000
200,200_semantic_0001
200,200_semantic_0002
200,200_semantic_0003
201,201_semantic_0000
201,201_semantic_0001
201,201_semantic_0002
202,202_semantic_0000
203,203_semantic_0000
203,203_semantic_0001
203,203_semantic_0002
203,203_semantic_0003
204,204_semantic_0000
204,204_semantic_0001
204,204_semantic_0002
204,204_semantic_0003
205,205_semantic_0000
205,205_semantic_0001
205,205_semantic_0002
206,206_semantic_0000
206,206_semantic_0001
207,207_semantic_0000
207,207_semantic_0001
207,207_semantic_0002
208,208_semantic_0000
208,208_semantic_0001
208,208_semantic_0002
208,208_semantic_0003
209,209_semantic_0000
209,209_semantic_0001
209,209_semantic_0002
209,209_semantic_0003
210,210_semantic_0000
210,210_semantic_0001
210,210_semantic_0002
211,211_semantic_0000
211,211_semantic_0001
211,211_semantic_0002
211,211_semantic_0003
211,211_semantic_0004
212,212_semantic_0000
212,212_semantic_0001
212,212_semantic_0002
213,213_semantic_0000
213,213_semantic_0001
214,214_semantic_0000
214,214_semantic_0001
214,214_semantic_0002
215,215_semantic_0000
215,215_semantic_0001
216,216_semantic_0000
216,216_semantic_0001
216,216_semantic_0002
217,217_semantic_0000
217,217_semantic_0001
217,217_semantic_0002
218,218_semantic_0000
218,218_semantic_0001
218,218_semantic_0002
219,219_semantic_0000
219,219_semantic_0001
219,219_semantic_0002
220,220_semantic_0000
220,220_semantic_0001
220,220_semantic_0002
221,221_semantic_0000
221,221_semantic_0001
221,221_semantic_0002
221,221_semantic_0003
222,222_semantic_0000
222,222_semantic_0001
223,223_semantic_0000
223,223_semantic_0001
223,223_semantic_0002
223,223_semantic_0003
224,224_semantic_0000
224,224_semantic_0001
224,224_semantic_0002
224,224_semantic_0003
225,225_semantic_0000
225,225_semantic_0001
226,226_semantic_0000
226,226_semantic_0001
226,226_semantic_0002
227,227_semantic_0000
227,227_semantic_0001
227,227_semantic_0002
227,227_semantic_0003
228,228_semantic_0000
228,228_semantic_0001
228,228_semantic_0002
228,228_semantic_0003
228,228_semantic_0004
228,228_semantic_0005
229,229_semantic_0000
230,230_semantic_0000
230,230_semantic_0001
230,230_semantic_0002
230,230_semantic_0003
231,231_semantic_0000
231,231_semantic_0001
232,232_semantic_0000
232,232_semantic_0001
232,232_semantic_0002
232,232_semantic_0003
233,233_semantic_0000
233,233_semantic_0001
233,233_semantic_0002
233,233_semantic_0003
234,234_semantic_0000
234,234_semantic_0001
235,235_semantic_0000
235,235_semantic_0001
235,235_semantic_0002
235,235_semantic_0003
235,235_semantic_0004
236,236_semantic_0000
236,236_semantic_0001
237,237_semantic_0000
237,237_semantic_0001
237,237_semantic_0002
237,237_semantic_0003
237,237_semantic_0004
238,238_semantic_0000
238,238_semantic_0001
238,238_semantic_0002
238,238_semantic_0003
239,239_semantic_0000
239,239_semantic_0001
239,239_semantic_0002
239,239_semantic_0003
240,240_semantic_0000
240,240_semantic_0001
241,241_semantic_0000
241,241_semantic_0001
241,241_semantic_0002
242,242_semantic_0000
242,242_semantic_0001
242,242_semantic_0002
243,243_semantic_0000
243,243_semantic_0001
243,243_semantic_0002
243,243_semantic_0003
243,243_semantic_0004
244,244_semantic_0000
244,244_semantic_0001
245,245_semantic_0000
245,245_semantic_0001
245,245_semantic_0002
245,245_semantic_0003
246,246_semantic_0000
246,246_semantic_0001
246,246_semantic_0002
247,247_semantic_0000
247,247_semantic_0001
247,247_semantic_0002
248,248_semantic_0000
248,248_semantic_0001
249,249_semantic_0000
249,249_semantic_0001
250,250_semantic_0000
250,250_semantic_0001
250,250_semantic_0002
251,251_semantic_0000
251,251_semantic_0001
251,251_semantic_0002
252,252_semantic_0000
252,252_semantic_0001
252,252_semantic_0002
253,253_semantic_0000
253,253_semantic_0001
253,253_semantic_0002
253,253_semantic_0003
254,254_semantic_0000
254,254_semantic_0001
254,254_semantic_0002
255,255_semantic_0000
255,255_semantic_0001
255,255_semantic_0002
255,255_semantic_0003
256,256_semantic_0000
256,256_semantic_0001
256,256_semantic_0002
257,257_semantic_0000
257,257_semantic_0001
258,258_semantic_0000
258,258_semantic_0001
258,258_semantic_0002
258,258_semantic_0003
259,259_semantic_0000
259,259_semantic_0001
259,259_semantic_0002
260,260_semantic_0000
260,260_semantic_0001
260,260_semantic_0002
261,261_semantic_0000
261,261_semantic_0001
261,261_semantic_0002
261,261_semantic_0003
261,261_semantic_0004
262,262_semantic_0000
262,262_semantic_0001
262,262_semantic_0002
263,263_semantic_0000
263,263_semantic_0001
263,263_semantic_0002
263,263_semantic_0003
264,264_semantic_0000
264,264_semantic_0001
264,264_semantic_0002
264,264_semantic_0003
265,265_semantic_0000
265,265_semantic_0001
265,265_semantic_0002
266,266_semantic_0000
266,266_semantic_0001
267,267_semantic_0000
267,267_semantic_0001
267,267_semantic_0002
267,267_semantic_0003
267,267_semantic_0004
268,268_semantic_0000
268,268_semantic_0001
268,268_semantic_0002
269,269_semantic_0000
269,269_semantic_0001
269,269_semantic_0002
270,270_semantic_0000
270,270_semantic_0001
270,270_semantic_0002
271,271_semantic_0000
271,271_semantic_0001
271,271_semantic_0002
272,272_semantic_0000
272,272_semantic_0001
272,272_semantic_0002
273,273_semantic_0000
273,273_semantic_0001
274,274_semantic_0000
274,274_semantic_0001
274,274_semantic_0002
274,274_semantic_0003
274,274_semantic_0004
275,275_semantic_0000
275,275_semantic_0001
275,275_semantic_0002
276,276_semantic_0000
276,276_semantic_0001
276,276_semantic_0002
276,276_semantic_0003
277,277_semantic_0000
277,277_semantic_0001
277,277_semantic_0002
277,277_semantic_0003
277,277_semantic_0004
278,278_semantic_0000
279,279_semantic_0000
279,279_semantic_0001
279,279_semantic_0002
280,280_semantic_0000
281,281_semantic_0000
281,281_semantic_0001
281,281_semantic_0002
282,282_semantic_0000
282,282_semantic_0001
282,282_semantic_0002
283,283_semantic_0000
283,283_semantic_0001
283,283_semantic_0002
284,284_semantic_0000
284,284_semantic_0001
285,285_semantic_0000
285,285_semantic_0001
285,285_semantic_0002
286,286_semantic_0000
286,286_semantic_0001
286,286_semantic_0002
286,286_semantic_0003
287,287_semantic_0000
287,287_semantic_0001
287,287_semantic_0002
287,287_semantic_0003
287,287_semantic_0004
288,288_semantic_0000
288,288_semantic_0001
289,289_semantic_0000
289,289_semantic_0001
289,289_semantic_0002
289,289_semantic_0003
290,290_semantic_0000
290,290_semantic_0001
290,290_semantic_0002
290,290_semantic_0003
291,291_semantic_0000
291,291_semantic_0001
291,291_semantic_0002
291,291_semantic_0003
292,292_semantic_0000
292,292_semantic_0001
293,293_semantic_0000
293,293_semantic_0001
294,294_semantic_0000
295,295_semantic_0000
295,295_semantic_0001
296,296_semantic_0000
296,296_semantic_0001
296,296_semantic_0002
296,296_semantic_0003
297,297_semantic_0000
297,297_semantic_0001
297,297_semantic_0002
297,297_semantic_0003
297,297_semantic_0004
298,298_semantic_0000
298,298_semantic_0001
299,299_semantic_0000
299,299_semantic_0001
300,300_semantic_0000
300,300_semantic_0001
300,300_semantic_0002
301,301_semantic_0000
301,301_semantic_0001
301,301_semantic_0002
301,301_semantic_0003
302,302_semantic_0000
302,302_semantic_0001
302,302_semantic_0002
302,302_semantic_0003
302,302_semantic_0004
303,303_semantic_0000
303,303_semantic_0001
303,303_semantic_0002
303,303_semantic_0003
304,304_semantic_0000
304,304_semantic_0001
304,304_semantic_0002
304,304_semantic_0003
305,305_semantic_0000
306,306_semantic_0000
307,307_semantic_0000
307,307_semantic_0001
307,307_semantic_0002
308,308_semantic_0000
308,308_semantic_0001
308,308_semantic_0002
309,309_semantic_0000
309,309_semantic_0001
309,309_semantic_0002
310,310_semantic_0000
310,310_semantic_0001
310,310_semantic_0002
311,311_semantic_0000
311,311_semantic_0001
311,311_semantic_0002
312,312_semantic_0000
312,312_semantic_0001
312,312_semantic_0002
312,312_semantic_0003
313,313_semantic_0000
313,313_semantic_0001
313,313_semantic_0002
313,313_semantic_0003
313,313_semantic_0004
314,314_semantic_0000
314,314_semantic_0001
314,314_semantic_0002
315,315_semantic_0000
315,315_semantic_0001
315,315_semantic_0002
315,315_semantic_0003
315,315_semantic_0004
316,316_semantic_0000
316,316_semantic_0001
316,316_semantic_0002
317,317_semantic_0000
317,317_semantic_0001
317,317_semantic_0002
318,318_semantic_0000
318,318_semantic_0001
319,319_semantic_0000
319,319_semantic_0001
320,320_semantic_0000
321,321_semantic_0000
322,322_semantic_0000
322,322_semantic_0001
322,322_semantic_0002
323,323_semantic_0000
323,323_semantic_0001
323,323_semantic_0002
323,323_semantic_0003
324,324_semantic_0000
324,324_semantic_0001
325,325_semantic_0000
325,325_semantic_0001
326,326_semantic_0000
326,326_semantic_0001
326,326_semantic_0002
326,326_semantic_0003
327,327_semantic_0000
327,327_semantic_0001
327,327_semantic_0002
327,327_semantic_0003
328,328_semantic_0000
328,328_semantic_0001
328,328_semantic_0002
329,329_semantic_0000
329,329_semantic_0001
329,329_semantic_0002
330,330_semantic_0000
331,331_semantic_0000
331,331_semantic_0001
332,332_semantic_0000
332,332_semantic_0001
332,332_semantic_0002
333,333_semantic_0000
333,333_semantic_0001
333,333_semantic_0002
334,334_semantic_0000
334,334_semantic_0001
334,334_semantic_0002
334,334_semantic_0003
334,334_semantic_0004
335,335_semantic_0000
336,336_semantic_0000
336,336_semantic_0001
336,336_semantic_0002
336,336_semantic_0003
337,337_semantic_0000
337,337_semantic_0001
337,337_semantic_0002
338,338_semantic_0000
338,338_semantic_0001
338,338_semantic_0002
339,339_semantic_0000
339,339_semantic_0001
339,339_semantic_0002
339,339_semantic_0003
340,340_semantic_0000
340,340_semantic_0001
340,340_semantic_0002
341,341_semantic_0000
341,341_semantic_0001
342,342_semantic_0000
342,342_semantic_0001
342,342_semantic_0002
342,342_semantic_0003
343,343_semantic_0000
343,343_semantic_0001
343,343_semantic_0002
343,343_semantic_0003
343,343_semantic_0004
344,344_semantic_0000
344,344_semantic_0001
344,344_semantic_0002
344,344_semantic_0003
345,345_semantic_0000
345,345_semantic_0001
346,346_semantic_0000
346,346_semantic_0001
346,346_semantic_0002
347,347_semantic_0000
347,347_semantic_0001
347,347_semantic_0002
348,348_semantic_0000
348,348_semantic_0001
348,348_semantic_0002
348,348_semantic_0003
349,349_semantic_0000
349,349_semantic_0001
349,349_semantic_0002
349,349_semantic_0003
350,350_semantic_0000
350,350_semantic_0001
350,350_semantic_0002
351,351_semantic_0000
351,351_semantic_0001
351,351_semantic_0002
352,352_semantic_0000
352,352_semantic_0001
352,352_semantic_0002
352,352_semantic_0003
352,352_semantic_0004
353,353_semantic_0000
353,353_semantic_0001
354,354_semantic_0000
354,354_semantic_0001
355,355_semantic_0000
355,355_semantic_0001
355,355_semantic_0002
355,355_semantic_0003
356,356_semantic_0000
356,356_semantic_0001
356,356_semantic_0002
357,357_semantic_0000
357,357_semantic_0001
357,357_semantic_0002
357,357_semantic_0003
358,358_semantic_0000
358,358_semantic_0001
358,358_semantic_0002
358,358_semantic_0003
359,359_semantic_0000
359,359_semantic_0001
359,359_semantic_0002
360,360_semantic_0000
360,360_semantic_0001
361,361_semantic_0000
361,361_semantic_0001
361,361_semantic_0002
361,361_semantic_0003
362,362_semantic_0000
362,362_semantic_0001
362,362_semantic_0002
362,362_semantic_0003
363,363_semantic_0000
363,363_semantic_0001
363,363_semantic_0002
363,363_semantic_0003
364,364_semantic_0000
364,364_semantic_0001
364,364_semantic_0002
364,364_semantic_0003
365,365_semantic_0000
365,365_semantic_0001
365,365_semantic_0002
365,365_semantic_0003
365,365_semantic_0004
366,366_semantic_0000
366,366_semantic_0001
366,366_semantic_0002
366,366_semantic_0003
366,366_semantic_0004
367,367_semantic_0000
367,367_semantic_0001
367,367_semantic_0002
367,367_semantic_0003
368,368_semantic_0000
368,368_semantic_0001
368,368_semantic_0002
369,369_semantic_0000
369,369_semantic_0001
369,369_semantic_0002
369,369_semantic_0003
370,370_semantic_0000
370,370_semantic_0001
370,370_semantic_0002
370,370_semantic_0003
371,371_semantic_0000
371,371_semantic_0001
371,371_semantic_0002
372,372_semantic_0000
372,372_semantic_0001
372,372_semantic_0002
373,373_semantic_0000
373,373_semantic_0001
373,373_semantic_0002
374,374_semantic_0000
374,374_semantic_0001
374,374_semantic_0002
375,375_semantic_0000
375,375_semantic_0001
375,375_semantic_0002
376,376_semantic_0000
376,376_semantic_0001
376,376_semantic_0002
377,377_semantic_0000
377,377_semantic_0001
378,378_semantic_0000
378,378_semantic_0001
378,378_semantic_0002
378,378_semantic_0003
379,379_semantic_0000
379,379_semantic_0001
379,379_semantic_0002
379,379_semantic_0003
380,380_semantic_0000
380,380_semantic_0001
380,380_semantic_0002
380,380_semantic_0003
381,381_semantic_0000
381,381_semantic_0001
381,381_semantic_0002
381,381_semantic_0003
382,382_semantic_0000
382,382_semantic_0001
382,382_semantic_0002
382,382_semantic_0003
382,382_semantic_0004
383,383_semantic_0000
383,383_semantic_0001
383,383_semantic_0002
383,383_semantic_0003
384,384_semantic_0000
384,384_semantic_0001
385,385_semantic_0000
385,385_semantic_0001
386,386_semantic_0000
386,386_semantic_0001
387,387_semantic_0000
387,387_semantic_0001
388,388_semantic_0000
388,388_semantic_0001
388,388_semantic_0002
389,389_semantic_0000
390,390_semantic_0000
390,390_semantic_0001
390,390_semantic_0002
391,391_semantic_0000
391,391_semantic_0001
391,391_semantic_0002
392,392_semantic_0000
392,392_semantic_0001
393,393_semantic_0000
393,393_semantic_0001
394,394_semantic_0000
394,394_semantic_0001
395,395_semantic_0000
395,395_semantic_0001
395,395_semantic_0002
395,395_semantic_0003
396,396_semantic_0000
396,396_semantic_0001
397,397_semantic_0000
